mid,用户名,发文时间,内容,转发数,评论数,点赞数
4489287150121291#,一切安好7758,2020-04-02,"
@李现ing 支持你！一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员一线奋战，希望你们早日回到家中，感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489285971836802#,猪猪时光荏苒_2037,2020-04-02,"
@李现ing 支持你！一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员一线奋战，希望你们早日回到家中，感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489285954962486#,阮y_Debbie,2020-04-02,"
#感谢 有你#一起保护大自然@百万森林 与社会携手做公益@微公益 关心小动物的生存@WWF世界自然基金会 我们要有爱心@微公益 无论怎样心中时时刻刻有祖国@人民网  lll ​                ", , ,
4489283086027667#,just唯心而已,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489282976652691#,南昌晚报,2020-04-02,"
#坚守共赢胜利# 【伊利向江西省所有援助湖北医疗队员提供全年营养支持】4月2日，江西省卫健委、省红会联合主办的春暖花开·致敬战疫英雄归来公益活动在南昌举行。伊利集团第一时间购买京东购物卡，赠送给江西援助湖北全体医疗队员，向他们提供全年营养支持。感谢他们的辛勤付出和无私奉献。 ​  展开全文c ", , 2,1
4489281470655416#,明天46855,2020-04-02,"
                    //@雷公子Jecci:#感谢 有你#突如其来的疫情让我的家乡湖北遭受了前所未有的灾难。疫情爆发时超4万名援鄂医疗工作者，白衣执甲，出征前线。感谢你们的付出！点击链接O网页链接看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4489280212175291#,萌萌的a123456-6,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489279621701729#,上头一年,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489278413541979#,心中有小梦想,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489276106233845#,楊20040802tamia,2020-04-02,"
刘涛 //@刘涛tamia:#感谢 有你# 致敬所有在疫情期间昼夜奋战，为抗疫持续研究的科研工作者。感谢你们守护了我们的健康与生命。点击链接O网页链接看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489274411674090#,幸福永随珺儿,2020-04-02,"
#甄稀品牌代言人李现# lx#李现的上头冰淇淋#  //@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，希望你们可以早日回到温暖的家中。也感谢值班民警、环卫工人、新建医院的建筑工人等一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。O网页链接看感人故事                ", , ,
