mid,用户名,发文时间,内容,转发数,评论数,点赞数
4488259780604455#,赫骊点晴,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259771894851#,法国小红酒xt,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259759929678#,只要幸福安康,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259759498523#,百年大吉大利,2020-03-30,"
                    致敬每一位默默奉献得人//@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259759491522#,唯物5366,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259742425694#,放浪不羁的永远,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259738697636#,啊-三号,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259734494633#,BomFengxxx,2020-03-30,"
感谢//@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259729983036#,晓祺姐姐,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259721338214#,人潮拥挤我找不着厕所ling,2020-03-30,"
                    非常感谢//@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259717635658#,夏·染,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259712905445#,今世有缘96769,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259709588402#,等风来89348,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259709178885#,来自新鲜血液,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259696798498#,灰常酷rectangle,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259687859582#,大虾乱斗,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259662536649#,小凡子1717,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259452850252#,无患子--,2020-03-30,"
                    //@jj423:#感谢 有你#致敬在抗疫一线的白衣勇士，以及在不同岗位支持抗疫的志愿者，你们对我们的付出和守护，让我们在疫情中感受带来的每一份温暖。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488259394647317#,君温柔似水,2020-03-30,"
感谢有你！致敬英雄！//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4488258732257788#,葛建颖在线-实盘指导,2020-03-30,"
                    爱李//@活力伊利:#感谢 有你#你是否也被抗疫英雄感动过，是否也有很多感谢的话想说？伊利再次捐赠1.8亿，感谢所有抗疫英雄的坚持与付出，给生命“守护者”以守护，给“暖心者”以温暖，共同助力中国抗疫取得最终胜利。快点击#感谢 有你#活动，和伊利一起说出你的感谢！ 评论配图 ", , ,
4488258710829209#,茹嫣38978,2020-03-30,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有抗疫一线的英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4488258556140309#,吾思吾想80,2020-03-30,"
                    //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4488257247059721#,随缘相聚-随遇而安,2020-03-30,"
@刘涛tamia 我永远支持你！���//@刘涛tamia:#感谢 有你# 致敬所有在疫情期间昼夜奋战，为抗疫持续研究的科研工作者。感谢你们守护了我们的健康与生命。点击链接O网页链接看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4488255875663420#,七一二-,2020-03-30,"
//@刘涛tamia:#感谢 有你# 致敬所有在疫情期间昼夜奋战，为抗疫持续研究的科研工作者。感谢你们守护了我们的健康与生命。点击链接O网页链接看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4488255162763420#,晚风太急_vmdgar,2020-03-30,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4488254789305303#,kkw的筒子骨藕汤,2020-03-30,"
#王凯宋仁宗# 。#王凯清平乐# //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4488254344587076#,李现爱你有十米,2020-03-30,"
#感谢 有你# ", , ,
4488252272716161#,全网最靠谱小姐姐ya,2020-03-30,"
                    ▻世界上最好的感觉就是知道有人在想你#感谢 有你##情感语录# ​                ", , ,
4488250829959361#,小徐宝宝的ing,2020-03-30,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# ", , ,
4488250128984632#,攻势丶i,2020-03-30,"
//@宠现ing_李现个站:感谢有你们，感谢所有一线英雄们�谢谢你们的付出和守护～早日归来，感恩有你//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对抗疫英雄的感谢。                ", , ,
4488250083590596#,KKW的虾圆,2020-03-30,"
//@王可爱kkw的盒盒盒:#感谢 有你# 谢谢。向你们致敬//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4488250070952115#,KKW的虾圆,2020-03-30,"
//@王可爱kkw的盒盒盒:#感谢 有你# 谢谢。向你们致敬//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4488250058569528#,KKW的虾圆,2020-03-30,"
//@王可爱kkw的盒盒盒:#感谢 有你# 谢谢。向你们致敬//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4488249592179615#,李xian15,2020-03-30,"
#感谢 有你# ", , ,
4488248934030085#,茹嫣2781,2020-03-30,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，感谢其他抗疫一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4488248581392928#,我是白慕,2020-03-30,"
#感谢 有你# 感谢有你!//@活力伊利:#春暖花开英雄凯旋#坚守在一线的英雄为我们披荆斩棘、筑建堡垒，如今疫情初解，万物复苏，正是春暖花开之际，英雄凯旋之时！盼望着英雄们在春风与花香中凯旋而归#感谢 有你#伊利集团再捐1.8亿为英雄们提供营养支持！查看更多感人故事，点击O网页链接 ", , ,
4488248208815231#,巴老降巴,2020-03-30,"
#感谢 有你#感觉还不够21天吧～完成?出汗果然是最好的护肤品，后悔前天买好几种精华了 2北京 ​                ", , ,1
4488247956442235#,bingduxiang,2020-03-30,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，感谢其他抗疫一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4488247381720913#,阿蛙爱吃桃,2020-03-30,"
                    //@活力伊利:#春暖花开英雄凯旋#坚守在一线的英雄为我们披荆斩棘、筑建堡垒，如今疫情初解，万物复苏，正是春暖花开之际，英雄凯旋之时！盼望着英雄们在春风与花香中凯旋而归#感谢 有你#伊利集团再捐1.8亿为英雄们提供营养支持！查看更多感人故事，点击O网页链接 ", , ,
4488246262529768#,坚韧de麦片,2020-03-30,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# ", , ,
4488245796637240#,红尘可破,2020-03-30,"
                    致敬�//@刘涛tamia:#感谢 有你# 致敬所有在疫情期间昼夜奋战，为抗疫持续研究的科研工作者。感谢你们守护了我们的健康与生命。点击链接O网页链接看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,1
4488243963460489#,小机灵1108,2020-03-30,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4488241749515421#,寶寶_____________,2020-03-30,"
                    //@活力伊利:#春暖花开英雄凯旋#坚守在一线的英雄为我们披荆斩棘、筑建堡垒，如今疫情初解，万物复苏，正是春暖花开之际，英雄凯旋之时！盼望着英雄们在春风与花香中凯旋而归#感谢 有你#伊利集团再捐1.8亿为英雄们提供营养支持！查看更多感人故事，点击O网页链接 ", , ,
4488241665390385#,李xian7,2020-03-30,"
#感谢 有你# ", , ,
4488240642195308#,只剩10条评论的日子,2020-03-30,"
#春暖花开英雄凯旋##感谢 有你#//@活力伊利:#春暖花开英雄凯旋#坚守在一线的英雄为我们披荆斩棘、筑建堡垒，如今疫情初解，万物复苏，正是春暖花开之际，英雄凯旋之时！盼望着英雄们在春风与花香中凯旋而归#感谢 有你#伊利集团再捐1.8亿为英雄们提供营养支持！查看更多感人故O网页链接 ", , ,
4488240524367203#,倾国倾城凯凯王,2020-03-30,"
                    //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4488239899093420#,晨晨808,2020-03-30,"
                    //@cici潆月: #感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接 O网页链接  看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488239777413484#,昇槾,2020-03-30,"
#感谢 有你#这里有抗疫英雄的感人故事。伊利集团再捐1.8亿，感谢全国所有援鄂医疗队员；感谢钟南山、李兰娟、程京等科研团队并支持他们继续科研攻坚；感谢一线医护人员；感谢支持抗疫的各界人士！@活力伊利 联合@新华网 发起#感谢 有你#活动O网页链接，和伊利一起说出你的感谢！ ​                ", , ,
4488239161072151#,慕容晓嘉,2020-03-30,"
                    //@活力伊利:#春暖花开英雄凯旋#坚守在一线的英雄为我们披荆斩棘、筑建堡垒，如今疫情初解，万物复苏，正是春暖花开之际，英雄凯旋之时！盼望着英雄们在春风与花香中凯旋而归#感谢 有你#伊利集团再捐1.8亿为英雄们提供营养支持！查看更多感人故事，点击O网页链接 ", , ,
4488237542326536#,用户7059781366,2020-03-30,"
#感谢 有你#智慧故事】布施越多，财富越多     　　一个修行者人听了因果布施的道理，对禅师说：“等我有钱以后，一定广修供养，做一些济世救人的事业”。　　禅师：等你有钱以后再行布施，那你永远不会有钱，也不会布施。　　修行者：为什么呢，师父?　　禅师：因为富有从布施中来呀!　　修 ​  展开全文c ", , ,
4488235809559612#,夏雪家平平,2020-03-30,"
#王凯孤城闭##王凯大江大河2##王凯猎狐# @王凯kkw 周一快乐//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4488235566731481#,活力伊利,2020-03-30,"
#春暖花开英雄凯旋#坚守在一线的英雄为我们披荆斩棘、筑建堡垒，如今疫情初解，万物复苏，正是春暖花开之际，英雄凯旋之时！盼望着英雄们在春风与花香中凯旋而归#感谢 有你#伊利集团再捐1.8亿为英雄们提供营养支持！查看更多感人故事，点击O网页链接 ", 9, 3,11
4488235139095557#,九九遇晛心動ing,2020-03-30,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4488235004371342#,你说得对做人要大气818,2020-03-30,"
                    //@得舍王凯工作室:王凯 #感谢 有你# 谢谢你们的挺身而出，感谢你们的付出//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有 ", , ,
4488233637482697#,羽痕Feather,2020-03-30,"
#感谢 有你# 感谢有你，感恩有你！ O网页链接 ​                ", , ,1
4488233284590077#,羽痕Feather,2020-03-30,"
#感谢 有你#这里有抗疫英雄的感人故事。伊利集团再捐1.8亿，感谢全国所有援鄂医疗队员；感谢钟南山、李兰娟、程京等科研团队并支持他们继续科研攻坚；感谢一线医护人员；感谢支持抗疫的各界人士！@活力伊利 联合@新华网 发起#感谢 有你#活动O网页链接，和伊利一起说出你的感谢！ ​                ", , ,1
4488233100116409#,J通信嵌入1901团支部,2020-03-30,"
                    //@江苏大学团委: //@央视新闻:#感谢 有你# 当疫情来袭，全国各地医疗人员汇集武汉；钟南山、李兰娟、程京等科研团队深入一线，为科研攻关贡献力量；如今，一线医护人员仍在奋战；为战疫做贡献的各界人士不下火线……伊利集团再捐1.8亿，支持感谢这些英雄，                ", , ,
4488232455074399#,如萱春竹lw,2020-03-30,"
                    //@活力伊利:#新时代最可爱的人#你们是疫情中与时间赛跑的医护人员，你们是深夜在高速路上奔驰的货车司机，你们是不辞辛苦默默付出的社区志愿者......你们是新时代最可爱的人#感谢 有你#伊利再捐1.8亿，为在一线“奔跑”的你们提供营养支持！这里有更多感人故事，点击O网页链接 ", , ,
4488232387674407#,遇晛心動cherry,2020-03-30,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4488231405937036#,不知道要取什么名字的锦鲤,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488229929095385#,一路一起KK,2020-03-30,"
                    //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4488228687788879#,用户7272093181,2020-03-30,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人早日回到温暖的边。也感谢值班民、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4488227534218413#,xx小徐_,2020-03-30,"
#感谢 有你#这里有抗疫英雄的感人故事。伊利集团再捐1.8亿，感谢全国所有援鄂医疗队员；感谢钟南山、李兰娟、程京等科研团队并支持他们继续科研攻坚；感谢一线医护人员；感谢支持抗疫的各界人士！@活力伊利 联合@新华网 发起#感谢 有你#活动O网页链接，和伊利一起说出你的感谢！ ​                ", , ,
4488224049246403#,王-----妃细水长流,2020-03-30,"
王凯 #王凯清平乐# #王凯大江大河2# #王凯猎狐# #王凯宋仁宗##王凯宋运辉##王凯夏远# 小狮子�凯宝，诸事皆安�@王凯kkw �「王凯-宋仁宗-宋运辉-夏远」//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员， O网页链接 我们和@活力伊利 一起说出对抗疫英雄们的感谢。                ", , ,
4488223956818015#,王-----妃细水长流,2020-03-30,"
王凯 #王凯清平乐# #王凯大江大河2# #王凯猎狐# #王凯宋仁宗##王凯宋运辉##王凯夏远# 小狮子�凯宝，下午好啊�@王凯kkw �「王凯-宋仁宗-宋运辉-夏远」//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员， O网页链接 我们和@活力伊利 一起说出对抗疫英雄们的感谢。                ", , ,
4488222753525859#,坤儿-小跟班芽芽,2020-03-30,"
                    感恩@王丽坤 //@王丽坤:#感谢 有你#众志成城，抗击疫情，感谢全国各地所有援鄂医疗队，不论身在何处，心紧相依。内蒙虽远，但内蒙医护人员不远千里为抗击疫情挺身而出,身为内蒙的一份子,我为援鄂内蒙医疗队自豪!O网页链接 看更多感人的故事 和@活力伊利 一起说出对抗疫英雄们的感谢！                ", , ,
4488222220984450#,雷雷201207,2020-03-30,"
                    //@王珞丹:#感谢 有你# 感谢所有为疫情奋战过的医护人员，致敬仍坚守在抗疫最前线的工作者们。唯愿，春来，疫去，民安。点击链接 O网页链接 感受更多爱的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4488219930164882#,大洋芋拌薄荷,2020-03-30,"
#感谢 有你#♥️伊利品牌公益热点营销开机报图➕全国热搜话题➕热点视窗明星主发&粉条➕媒体矩证背书&粉条疫情期品牌温度输出激发挖掘TA人群社会化营销#新浪互助# 微公益 ​                ", , ,
4488219560953954#,时光夏日中,2020-03-30,"
                    //@cici潆月:#感谢 有你# 感谢默默坚守岗位的每一位普通的工作人员，我们收到的每一份外卖，每一单快递，都是因为有你们的付出才可以保证我们生活的正常运转。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488217388618264#,彩群翱6,2020-03-30,"
                    我们的确要怀有感恩的心//@娱乐阿呆仔:#感谢 有你# 2020年开端的一场疫情让我们更加懂得了医者仁心。面对疫情，医护人员坚守在一线，义无反顾的守护着我们。在此，致敬最美的医护战士们，点击链接O网页链接 看更多感人故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488217300082599#,登koarla,2020-03-30,"
                    不得不说伊利也很爱国。//@娱乐阿呆仔:#感谢 有你# 2020年开端的一场疫情让我们更加懂得了医者仁心。面对疫情，医护人员坚守在一线，义无反顾的守护着我们。在此，致敬最美的医护战士们，点击链接O网页链接 看更多感人故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488216742906820#,茅荣唐郎汤戈,2020-03-30,"
                    //@活力伊利:#武汉多家商场购物中心恢复营业#疫情在战士们抗疫的“歌声”中向好，社会开始有序复产复工#感谢 有你#伊利集团再捐1.8亿，为奋战一线的英雄们提供营养支持，只要我们在一起，就能携手共见雨后彩虹！#感谢 有你#这里还有更多感人故事，点击O网页链接 ", , ,
4488216620996504#,茅荣唐郎汤戈,2020-03-30,"
                    //@活力伊利:#8个新冠肺炎病区关闭##感谢 有你#李兰娟团队等五支医疗队！相信以后这样的好消息会越来越多，在所有一线抗疫人员的努力下，生命得到拯救，疫情得到控制！伊利与你们永远在一起，伊利再捐1.8亿，为所有援鄂医疗队提供营养支持，同时也将助力李兰娟等抗疫科研团队，共同推动健康领域的科研                ", , ,
4488216549576410#,虎妞儿WP树,2020-03-30,"
                    做的真的非常的好，必须给点赞//@电影工厂:#感谢 有你#感谢来自五湖四海的援鄂医疗队，是你们在危难时刻，义无反顾前往一线；寒冬已经结束，但这个冬天你们的辛苦付出不会被忘记。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488216533094148#,PS宝盖头翼,2020-03-30,"
                    非常感激他们可以这样子的，勇往向前//@娱乐阿呆仔:#感谢 有你# 2020年开端的一场疫情让我们更加懂得了医者仁心。面对疫情，医护人员坚守在一线，义无反顾的守护着我们。在此，致敬最美的医护战士们，点击链接O网页链接 看更多感人故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488216495528948#,没有人摄影设计工作懂,2020-03-30,"
                    祝大家为你们骄傲点赞。//@电影工厂:#感谢 有你#感谢来自五湖四海的援鄂医疗队，是你们在危难时刻，义无反顾前往一线；寒冬已经结束，但这个冬天你们的辛苦付出不会被忘记。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488216482822855#,和靖克y,2020-03-30,"
感觉伊利这个行动搞得很好//@电影工厂:#感谢 有你#感谢来自五湖四海的援鄂医疗队，是你们在危难时刻，义无反顾前往一线；寒冬已经结束，但这个冬天你们的辛苦付出不会被忘记。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488216352475978#,君温柔似水,2020-03-30,"
感谢有你！致敬英雄！//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4488216281793252#,难得幸福2019,2020-03-30,"
#感谢 有你#感谢全国所有援助湖北的医疗队员，感谢钟南山，李兰娟及一直奋战在抗疫一线的英雄们！向你们致敬！还要感谢#田惠宇导演的招行钱端经年大戏# 让我们一夜至贫，9600多受害人14亿资金人间蒸发，下落不明。#万人喊话招行田惠宇# 快还我们血汗钱！ ​                ", , ,4
4488216222553044#,超小莹_SS,2020-03-30,"
                    希望以后能够很多人都注意到他们的精神//@电影工厂:#感谢 有你#感谢来自五湖四海的援鄂医疗队，是你们在危难时刻，义无反顾前往一线；寒冬已经结束，但这个冬天你们的辛苦付出不会被忘记。点击链接O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488216206216765#,dongdong震,2020-03-30,"
                    在这里我也要向英雄们致敬的。//@娱乐阿呆仔:#感谢 有你# 2020年开端的一场疫情让我们更加懂得了医者仁心。面对疫情，医护人员坚守在一线，义无反顾的守护着我们。在此，致敬最美的医护战士们，点击链接O网页链接 看更多感人故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4488216105048633#,orangech兰,2020-03-30,"
                    真正的好企业是心系社会的//@娱乐阿呆仔:#感谢 有你# 2020年开端的一场疫情让我们更加懂得了医者仁心。面对疫情，医护人员坚守在一线，义无反顾的守护着我们。在此，致敬最美的医护战士们，点击链接O网页链接 看更多感人故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
