名称,发文数,关注数,粉丝数,获赞数,认证,位置,简介,文章id,标题,发布时间,评论数,转发数,点赞数
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809100100140571301D029342,【东京奥运准备工作正按计划推进】东京奥组委表示：国际奥委会多次表示奥运会的准备工作正按计划推进，为了举办安心安全的奥运会，新冠肺炎的对策十分重要。东京奥组委将继续关注新冠肺炎的整体情况，研究必要的对策。至于5月底前为期限判断东京奥运是否可以举办，这不是国际奥委会的官方见解。（总台记者王梦）,2020/2/26 13:16,33,3,114
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809100100140571301D029342,独家专访钟南山院士丨复工复产有序进行 企业个人该怎样做？,2020/2/26 13:09,24,2,322
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809100100140571301D029342,志愿者纪实丨买药买排骨 封闭管理下武汉社区志愿者的工作清单,2020/2/26 13:04,15,2,110
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809100100140571301D029342,"<a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1659307099841592"">#这道彩虹真赞#</a>【26省区市新增确诊病例为0】不懈怠、不放松、不扎堆，戴好口罩，坚持下去！ ​​​​",2020/2/26 12:39,89,15,238
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809100100140571301D029342,【韩国新天地教会信徒新冠肺炎死亡  韩国新冠肺炎累计死亡病例增至12例】今天，韩国大邱市政府表示，又有1例确诊感染新冠肺炎的患者不治身亡。韩国境内累计死亡病例增至12例。该患者73岁，是韩国新天地教会信徒，患有糖尿病和高血压等慢性疾病。（总台记者李大杰） ​​​​,2020/2/26 12:10,206,4,600
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809100100140571301D029342,辽宁大连严防疫情境外输入 根据入境人员身体状况进行分类管理,2020/2/26 11:41,14,0,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809100100140571301D029342,"<a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1656848084597790"">#疫情联防联控实时播报#</a> 【湖北以外新增死亡病例为0】据国家卫健委数据，2月25日0—24时，湖北以外省区市和新疆生产建设兵团报告无新增死亡病例。 ​​​​",2020/2/26 11:31,27,3,548
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809100100140571301D029342,查扣3100余万只伪劣口罩,2020/2/26 11:18,44,1,143
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809100100140571301D029342,疫情期间49名公安民警辅警因公牺牲,2020/2/26 10:58,12,1,221
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809100100140571301D029342,战“疫”每日观察丨习近平为何语重心长提出增强“谨慎之心”,2020/2/26 10:52,2852,15,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809100100140571301D029342,【文在寅曾与确诊病例密切接触者出席会议】韩国大邱市经济副市长秘书于25日下午被确诊感染新冠肺炎，此前，韩国总统文在寅视察大邱市，并与该市副市长一同出席新冠肺炎疫情对策会议。目前青瓦台已建议出席会议的相关人士及媒体记者从即日起实施居家隔离。（总台央视记者李大杰） ​​​​,2020/2/26 10:46,88,2,1240
