code,发行人中文简称,发行人中文名称,起息日期,起息年份
601101.SH,昊华能源,北京昊华能源股份有限公司,2014-09-12,2014
601106.SH,中国一重,中国第一重型机械股份公司,2013-04-19,2013
601139.SH,深圳燃气,深圳市燃气集团股份有限公司,2016-07-11,2016
601155.SH,新城控股,新城控股集团股份有限公司,2011-07-07,2011
601158.SH,重庆水务,重庆水务集团股份有限公司,2016-02-19,2016
601168.SH,西部矿业,西部矿业股份有限公司,2012-02-14,2012
601177.SH,杭齿前进,杭州前进齿轮箱集团股份有限公司,2009-07-17,2009
601225.SH,陕西煤业,陕西煤业股份有限公司,2012-09-19,2012
601228.SH,广州港,广州港股份有限公司,2012-04-16,2012
601233.SH,桐昆股份,桐昆集团股份有限公司,2014-10-29,2014
601258.SH,庞大集团,庞大汽贸集团股份有限公司,2012-04-16,2012
601311.SH,骆驼股份,骆驼集团股份有限公司,2016-10-28,2016
601339.SH,百隆东方,百隆东方股份有限公司,2011-01-17,2011
601368.SH,绿城水务,广西绿城水务股份有限公司,2017-08-10,2017
601558.SH,华锐风电,华锐风电科技(集团)股份有限公司,2016-05-23,2016
601566.SH,九牧王,九牧王股份有限公司,2013-01-21,2013
601599.SH,鹿港文化,江苏鹿港文化股份有限公司,2015-06-03,2015
601608.SH,中信重工,中信重工机械股份有限公司,2016-03-04,2016
601666.SH,平煤股份,平顶山天安煤业股份有限公司,2011-11-11,2011
601669.SH,中国电建,中国电力建设股份有限公司,2016-10-20,2016
601699.SH,潞安环能,山西潞安环保能源开发股份有限公司,2013-04-22,2013
601718.SH,际华集团,际华集团股份有限公司,2016-02-01,2016
601777.SH,力帆股份,力帆实业(集团)股份有限公司,2012-03-15,2012
601877.SH,正泰电器,浙江正泰电器股份有限公司,2016-02-26,2016
601886.SH,江河集团,江河创建集团股份有限公司,2012-03-05,2012
601908.SH,京运通,北京京运通科技股份有限公司,2016-08-22,2016
601969.SH,海南矿业,海南矿业股份有限公司,2014-07-11,2014
603077.SH,和邦生物,四川和邦生物科技股份有限公司,2011-06-08,2011
603108.SH,润达医疗,上海润达医疗科技股份有限公司,2015-12-24,2015
603123.SH,翠微股份,北京翠微大厦股份有限公司,2011-08-18,2011
603260.SH,合盛硅业,合盛硅业股份有限公司,2016-09-12,2016
603555.SH,贵人鸟,贵人鸟股份有限公司,2016-03-25,2016
603603.SH,博天环境,博天环境集团股份有限公司,2012-03-01,2012
603659.SH,璞泰来,上海璞泰来新能源科技股份有限公司,2012-10-29,2012
603717.SH,天域生态,天域生态环境股份有限公司,2013-03-06,2013
603883.SH,老百姓,老百姓大药房连锁股份有限公司,2015-11-03,2015
603979.SH,金诚信,金诚信矿业管理股份有限公司,2013-04-17,2013
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
