code,发行人中文简称,发行人中文名称,起息日期,起息年份
002701.SZ,奥瑞金,奥瑞金包装股份有限公司,2014-09-22,2014
002716.SZ,金贵银业,郴州市金贵银业股份有限公司,2012-05-16,2012
002717.SZ,岭南股份,岭南生态文旅股份有限公司,2011-11-18,2011
002721.SZ,金一文化,北京金一文化发展股份有限公司,2012-12-21,2012
002742.SZ,三圣股份,重庆三圣实业股份有限公司,2017-04-20,2017
002766.SZ,索菱股份,深圳市索菱实业股份有限公司,2016-09-23,2016
002831.SZ,裕同科技,深圳市裕同包装科技股份有限公司,2015-12-10,2015
300010.SZ,立思辰,北京立思辰科技股份有限公司,2015-07-21,2015
300028.SZ,金亚科技,金亚科技股份有限公司,2015-08-13,2015
300030.SZ,阳普医疗,广州阳普医疗科技股份有限公司,2016-03-01,2016
300043.SZ,星辉娱乐,星辉互动娱乐股份有限公司,2014-04-08,2014
300047.SZ,天源迪科,深圳天源迪科信息技术股份有限公司,2014-02-24,2014
300058.SZ,蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,2015-12-24,2015
300062.SZ,中能电气,中能电气股份有限公司,2016-04-20,2016
300068.SZ,南都电源,浙江南都电源动力股份有限公司,2013-03-08,2013
300071.SZ,华谊嘉信,北京华谊嘉信整合营销顾问集团股份有限公司,2016-05-25,2016
300072.SZ,三聚环保,北京三聚环保新材料股份有限公司,2012-10-08,2012
300080.SZ,易成新能,河南易成新能源股份有限公司,2016-06-23,2016
300089.SZ,文化长城,广东文化长城集团股份有限公司,2016-09-27,2016
300090.SZ,盛运环保,安徽盛运环保(集团)股份有限公司,2017-04-28,2017
300093.SZ,金刚玻璃,广东金刚玻璃科技股份有限公司,2012-02-09,2012
300094.SZ,国联水产,湛江国联水产开发股份有限公司,2017-08-03,2017
300104.SZ,乐视网,乐视网信息技术(北京)股份有限公司,2011-03-18,2011
300111.SZ,向日葵,浙江向日葵光能科技股份有限公司,2015-12-07,2015
300117.SZ,嘉寓股份,北京嘉寓门窗幕墙股份有限公司,2013-01-29,2013
300121.SZ,阳谷华泰,山东阳谷华泰化工股份有限公司,2015-10-21,2015
300130.SZ,新国都,深圳市新国都技术股份有限公司,2012-03-07,2012
300131.SZ,英唐智控,深圳市英唐智能控制股份有限公司,2014-07-29,2014
300139.SZ,晓程科技,北京晓程科技股份有限公司,2016-07-08,2016
300147.SZ,香雪制药,广州市香雪制药股份有限公司,2010-11-04,2010
300157.SZ,恒泰艾普,恒泰艾普集团股份有限公司,2016-08-05,2016
300169.SZ,天晟新材,常州天晟新材料股份有限公司,2015-06-24,2015
300182.SZ,捷成股份,北京捷成世纪科技股份有限公司,2015-05-15,2015
300197.SZ,铁汉生态,深圳市铁汉生态环境股份有限公司,2016-02-02,2016
300199.SZ,翰宇药业,深圳翰宇药业股份有限公司,2014-09-29,2014
300202.SZ,聚龙股份,聚龙股份有限公司,2016-06-22,2016
300207.SZ,欣旺达,欣旺达电子股份有限公司,2012-10-30,2012
300208.SZ,恒顺众昇,青岛市恒顺众昇集团股份有限公司,2013-03-20,2013
300237.SZ,美晨生态,山东美晨生态环境股份有限公司,2013-03-08,2013
300239.SZ,东宝生物,包头东宝生物技术股份有限公司,2017-08-25,2017
300244.SZ,迪安诊断,迪安诊断技术集团股份有限公司,2012-11-05,2012
300251.SZ,光线传媒,北京光线传媒股份有限公司,2014-04-24,2014
300262.SZ,巴安水务,上海巴安水务股份有限公司,2016-04-15,2016
300273.SZ,和佳股份,珠海和佳医疗设备股份有限公司,2012-08-10,2012
300278.SZ,华昌达,华昌达智能装备集团股份有限公司,2013-06-21,2013
300296.SZ,利亚德,利亚德光电股份有限公司,2012-11-14,2012
300315.SZ,掌趣科技,北京掌趣科技股份有限公司,2014-10-22,2014
300328.SZ,宜安科技,东莞宜安科技股份有限公司,2015-12-25,2015
300336.SZ,新文化,上海新文化传媒集团股份有限公司,2013-09-18,2013
